Processo,Classe,Assunto,Comarca,Ano,Especializada
0527262-71.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527285-17.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527311-15.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527330-21.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527334-58.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527367-48.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527486-09.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527407-30.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527424-66.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0539703-84.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208507-72.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208502-50.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0509711-78.2023.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0504571-63.2023.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0504323-97.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0494591-92.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0469063-56.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0485642-79.2023.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
4007309-16.2023.8.04.0000,Mandado de Segurança,PPM - Promoção - Praças/Oficiais 25.12.2022,Tribunal De Justiça,2023.0,CPRAC - PPM
0795003-81.2022.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2022.0,CPRAC - PPM
0449069-42.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0466234-05.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0463818-64.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0440526-50.2023.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0445441-45.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0449124-90.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0420678-77.2023.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0475163-27.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0423805-23.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0423803-53.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0423796-61.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0449134-37.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0904900-44.2022.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2022.0,CPRAC - PPM
0438501-64.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0425538-24.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0437558-47.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0449091-03.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0449138-74.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0514514-07.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0793858-87.2022.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2022.0,CPRAC - PPM
0499648-91.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0795211-65.2022.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2022.0,CPRAC - PPM
0908852-31.2022.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2022.0,CPRAC - PPM
0795250-62.2022.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2022.0,CPRAC - PPM
0449103-17.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0449135-22.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0449100-62.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208587-36.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208533-70.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208897-42.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208960-67.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208959-82.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208956-30.2023.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208801-27.2023.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208909-56.2023.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208904-34.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208567-45.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208707-79.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208655-83.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208639-32.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208938-09.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208505-05.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208589-06.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208607-27.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208798-72.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208592-58.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208811-71.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208769-22.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208540-62.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208640-17.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208603-87.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208841-09.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208525-93.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208936-39.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
4007288-40.2023.8.04.0000,Mandado de Segurança,PPM - Promoção - Praças/Oficiais 25.12.2022,Tribunal De Justiça,2023.0,CPRAC - PPM
0546817-74.2023.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0420653-64.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0434672-75.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0449637-58.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0514506-30.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0469075-70.2023.8.04.0001,Procedimento Comum,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0465445-06.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0468843-58.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
4006577-35.2023.8.04.0000,Mandado de Segurança,PPM - Promoção - Praças/Oficiais 25.12.2022,Tribunal De Justiça,2023.0,CPRAC - PPM
4006280-28.2023.8.04.0000,Mandado de Segurança,PPM - Promoção - Praças/Oficiais 25.12.2022,Tribunal De Justiça,2023.0,CPRAC - PPM
0208891-35.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0410218-31.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0495080-32.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0427372-62.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208572-67.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208760-60.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
4007737-95.2023.8.04.0000,Mandado de Segurança,PPM - Promoção - Praças/Oficiais 25.12.2022,Tribunal De Justiça,2023.0,CPRAC - PPM
4004779-39.2023.8.04.0000,Mandado de Segurança,PPM - Promoção - Praças/Oficiais 25.12.2022,Tribunal De Justiça,2023.0,CPRAC - PPM
0208713-86.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208675-74.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208688-73.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208700-87.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208704-27.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0209008-26.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208803-94.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208766-67.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208772-74.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208773-59.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208718-11.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208597-80.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208630-70.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208623-78.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208621-11.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208606-42.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208599-50.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208590-88.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208588-21.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208586-51.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208581-29.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208626-33.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208661-90.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208659-23.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208654-98.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208652-31.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208645-39.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208635-92.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208657-53.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208862-82.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208830-77.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208724-18.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208725-03.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208694-80.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527491-31.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527392-61.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208566-60.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527357-04.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527346-72.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527320-74.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527389-09.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527294-76.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527270-48.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527252-27.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527224-59.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0527179-55.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208818-63.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208834-17.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208853-23.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208833-32.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208828-10.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208883-58.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208691-28.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208690-43.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208743-24.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208744-09.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208497-28.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208484-29.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208470-45.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208748-46.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208754-53.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208810-86.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208747-61.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208731-10.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208993-57.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208988-35.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208933-84.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208726-85.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208569-15.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208720-78.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208562-23.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208461-83.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208537-10.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208527-63.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208673-07.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208667-97.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208663-60.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208989-20.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208768-37.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208509-42.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208741-54.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208734-62.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208732-92.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208498-13.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208491-21.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208489-51.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208488-66.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208479-07.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208804-79.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
4004456-34.2023.8.04.0000,Mandado de Segurança,Promoção de praças Quadro Especial de Acesso - QEA,Tribunal De Justiça,2023.0,CPRAC - PPM
4007835-80.2023.8.04.0000,Mandado de Segurança,PPM - Promoção - Praças/Oficiais 25.12.2022,Tribunal De Justiça,2023.0,CPRAC - PPM
0208476-52.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208472-15.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208471-30.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208467-90.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208465-23.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208464-38.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208788-28.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208786-58.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208785-73.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208783-06.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208821-18.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208832-47.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208781-36.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208860-15.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208945-98.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208778-81.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208529-33.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208466-08.2023.8.04.0001,Procedimento do Juizado da Fazenda Pública,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208951-08.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208892-20.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208697-35.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208809-04.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208711-19.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
0208625-48.2023.8.04.0001,Homologação de Transação Extrajudicial,Reajuste data-base,Comarca de Manaus,2023.0,CPRAC - PPM
