Processo,Classe,Assunto,Comarca,Ano,Especializada
0480460-78.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481199-51.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481204-73.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481210-80.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481366-68.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481447-17.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0480465-03.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481207-28.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481374-45.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481436-85.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Peritos Oficiais - deflagração do processo e pagamento diferenças,Comarca de Manaus,2024.0,CPRAC - PPC
0480461-63.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481196-96.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481201-21.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481209-95.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481363-16.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481373-60.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481395-21.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481439-40.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481370-08.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479536-67.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479553-06.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479544-44.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479534-97.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479541-89.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479548-81.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481203-88.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481211-65.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Peritos Oficiais - deflagração do processo e pagamento diferenças,Comarca de Manaus,2024.0,CPRAC - PPC
0481371-90.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481446-32.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481212-50.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Peritos Oficiais - deflagração do processo e pagamento diferenças,Comarca de Manaus,2024.0,CPRAC - PPC
0481440-25.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481205-58.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481367-53.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Peritos Oficiais - deflagração do processo e pagamento diferenças,Comarca de Manaus,2024.0,CPRAC - PPC
0481369-23.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481375-30.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481442-92.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481208-13.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481364-98.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481443-77.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Peritos Oficiais - deflagração do processo e pagamento diferenças,Comarca de Manaus,2024.0,CPRAC - PPC
0479551-36.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479556-58.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479805-09.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0480448-64.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0480457-26.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481197-81.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479803-39.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0480445-12.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481195-14.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0479797-32.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0481202-06.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Peritos Oficiais - deflagração do processo e pagamento diferenças,Comarca de Manaus,2024.0,CPRAC - PPC
0480443-42.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0480458-11.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Escrivão de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
4002820-96.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
0484669-90.2024.8.04.0001,Procedimento Comum,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
4002748-12.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
0486788-24.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
4002832-13.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0472555-22.2024.8.04.0001,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0486780-47.2024.8.04.0001,Homologação de Transação Extrajudicial,Valores Retroativos do abono de permanência,Comarca de Manaus,2024.0,CPRAC - PPC
0472546-60.2024.8.04.0001,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
4002765-48.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
4002778-47.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
4002750-79.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0475240-02.2024.8.04.0001,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0492272-20.2024.8.04.0001,Homologação de Transação Extrajudicial,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0492278-27.2024.8.04.0001,Homologação de Transação Extrajudicial,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0492287-86.2024.8.04.0001,Homologação de Transação Extrajudicial,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
0492290-41.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
0501560-89.2024.8.04.0001,Mandado de Segurança,Indenização de férias e licença especial,Comarca de Manaus,2024.0,CPRAC - PPC
4002772-40.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
4002761-11.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
4002770-70.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
4002828-73.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Comarca de Manaus,2024.0,CPRAC - PPC
4006011-52.2024.8.04.0000,Mandado de Segurança,Gratificação de curso,Tribunal De Justiça,2024.0,CPRAC - PPC
0481198-66.2024.8.04.0001,Homologação de Transação Extrajudicial,Promoção de Investigador de Polícia,Comarca de Manaus,2024.0,CPRAC - PPC
